target_id	length	eff_length	est_counts	tpm
ENSOKIT00005008248.1	108	35.1369	0	0
ENSOKIT00005067423.1	105	36.0673	0	0
ENSOKIT00005000004.1	164	42.4809	0	0
ENSOKIT00005000005.1	164	42.4809	0	0
ENSOKIT00005000035.1	54	19.7246	0	0
ENSOKIT00005000058.1	53	18.9443	0	0
ENSOKIT00005001108.1	142	32.9351	3	78.1526
ENSOKIT00005001115.1	142	32.9351	0.333333	8.68362
ENSOKIT00005001120.1	142	32.9351	0.333333	8.68362
ENSOKIT00005001127.1	142	32.9351	0.333333	8.68362
ENSOKIT00005001132.1	142	32.9351	0.333333	8.68362
ENSOKIT00005001140.1	142	32.9351	0.333333	8.68362
ENSOKIT00005001146.1	142	32.9351	0.333333	8.68362
ENSOKIT00005001156.1	142	32.9351	0.333333	8.68362
ENSOKIT00005001159.1	142	32.9351	0.333333	8.68362
ENSOKIT00005001166.1	142	32.9351	0.333333	8.68362
ENSOKIT00005001171.1	142	32.9351	0.333333	8.68362
ENSOKIT00005001175.1	142	32.9351	0.333333	8.68362
ENSOKIT00005001182.1	142	32.9351	0.333333	8.68362
ENSOKIT00005001188.1	142	32.9351	0.333333	8.68362
ENSOKIT00005001192.1	142	32.9351	0.333333	8.68362
ENSOKIT00005001200.1	142	32.9351	0.333333	8.68362
ENSOKIT00005001206.1	142	32.9351	0.333333	8.68362
ENSOKIT00005001210.1	142	32.9351	0.333333	8.68362
ENSOKIT00005001218.1	142	32.9351	0.333333	8.68362
ENSOKIT00005001226.1	142	32.9351	0.333333	8.68362
ENSOKIT00005001229.1	142	32.9351	0.333333	8.68362
ENSOKIT00005001239.1	142	32.9351	0.333333	8.68362
ENSOKIT00005001244.1	142	32.9351	0	0
ENSOKIT00005001384.1	54	19.7246	0	0
ENSOKIT00005001800.1	53	18.9443	0	0
ENSOKIT00005003363.1	54	19.7246	0	0
ENSOKIT00005003980.1	52	18.2657	0	0
ENSOKIT00005004343.1	150	35.9326	0	0
ENSOKIT00005004831.1	160	40.696	0	0
ENSOKIT00005004854.1	165	42.8815	0	0
ENSOKIT00005004867.1	164	42.4809	0	0
ENSOKIT00005004886.1	164	42.4809	0	0
ENSOKIT00005004901.1	164	42.4809	0	0
ENSOKIT00005004916.1	164	42.4809	0	0
ENSOKIT00005004935.1	164	42.4809	0	0
ENSOKIT00005004952.1	164	42.4809	0	0
ENSOKIT00005004967.1	164	42.4809	0	0
ENSOKIT00005004984.1	164	42.4809	0.333333	6.73234
ENSOKIT00005004997.1	164	42.4809	0	0
ENSOKIT00005005009.1	164	42.4809	0.333333	6.73234
ENSOKIT00005005027.1	164	42.4809	0.333333	6.73234
ENSOKIT00005005040.1	164	42.4809	0.333333	6.73234
ENSOKIT00005005052.1	164	42.4809	0.333333	6.73234
ENSOKIT00005005064.1	164	42.4809	0.333333	6.73234
ENSOKIT00005005078.1	164	42.4809	0.333333	6.73234
ENSOKIT00005005094.1	164	42.4809	0.333333	6.73234
ENSOKIT00005005104.1	164	42.4809	0.333333	6.73234
ENSOKIT00005005116.1	164	42.4809	0.333333	6.73234
ENSOKIT00005005126.1	164	42.4809	0.333333	6.73234
ENSOKIT00005005133.1	164	42.4809	0.333333	6.73234
ENSOKIT00005005142.1	164	42.4809	0	0
ENSOKIT00005005158.1	164	42.4809	0	0
ENSOKIT00005005170.1	163	42.0735	0	0
ENSOKIT00005005251.1	164	42.4809	0	0
ENSOKIT00005005337.1	162	41.5619	0	0
ENSOKIT00005005346.1	57	22.1437	0	0
ENSOKIT00005005352.1	55	20.5546	0	0
ENSOKIT00005005357.1	148	35.0882	0	0
ENSOKIT00005005372.1	163	42.0735	0	0
ENSOKIT00005005388.1	163	42.0735	0	0
ENSOKIT00005005402.1	164	42.4809	0	0
ENSOKIT00005005586.1	55	20.5546	0	0
ENSOKIT00005006189.1	155	38.4914	0	0
ENSOKIT00005006944.1	55	20.5546	0	0
ENSOKIT00005008550.1	140	32.8708	0	0
ENSOKIT00005009138.1	54	19.7246	0	0
ENSOKIT00005009875.1	53	18.9443	0	0
ENSOKIT00005009971.1	57	22.1437	0	0
ENSOKIT00005010965.1	141	33.0659	0	0
ENSOKIT00005011164.1	55	20.5546	0	0
ENSOKIT00005011315.1	53	18.9443	0	0
ENSOKIT00005011468.1	57	22.1437	0	0
ENSOKIT00005011681.1	57	22.1437	0	0
ENSOKIT00005012364.1	55	20.5546	0	0
ENSOKIT00005013468.1	57	22.1437	0	0
ENSOKIT00005014503.1	209	65.4569	0	0
ENSOKIT00005015055.1	151	36.5219	0	0
ENSOKIT00005015194.1	53	18.9443	0	0
ENSOKIT00005015508.1	55	20.5546	0	0
ENSOKIT00005015557.1	117	34.1019	0	0
ENSOKIT00005015564.1	154	37.9211	0	0
ENSOKIT00005016076.1	134	31.777	0	0
